"Produktname";"Hersteller";"Produktbeschreibung";"Kaufpreis_in_Euro";"Monatliche_Kosten";"Refinanzierungsmoglichkeit";"Vertrieb";"Zuletzt_aktualisiert";"Interoperabilitat";"SmartphoneTablett_erforderlich";"Stromversorgung";"Mobilitat";"Eigenstaendige_Loesung";"Oberthema";"Pflegeproblem";"Produktkategorie";"PrimeOberthema";"LPD_Schauraum";"id";"Produktform";"Internetzugang_erforderlich";"Vernetzung";"Gutesiegel";"Status"
"Hidrate Spark PRO Smart Water Bottle";"Hidrate Inc.";"Eine smarte 682-ml-Trinkflasche mit LED-Sensorpuck erinnert sanft ans Trinken. Jeder Schluck wird in der App verfolgt, die individuelle Tagesmenge ist einstellbar. Via Bluetooth synchronisiert sich die App mit der Flasche für die Trinkhistorie. Die Trageschlaufe erleichtert den Transport, verschiedene Größen und Deckeloptionen stehen zur Auswahl.";"51-100 €";"Nein";"";"Online-Shops";"2025-05-22";"Gängige Fitness-Apps";"Ja";"Akku, aufladbar";"Beweglich";"Nein";"Stürzen,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Mangelnder Antrieb zu trinken";"Trinkerinnerung";"Stürzen,Flüssigkeitsmangel";"";"1000";"Hardware + Software";"Ja";"Bluetooth";"";"Aktiv"
"media4care";"Media4Care GmbH";"Media4care ist ein digitaler Betreuungsassistent, der über ein nutzerfreundliches Tablet Senioren und ihre Angehörigen miteinander verbindet. Videoanrufe, Nachrichtenaustausch und das Teilen von Fotoalben sind mühelos möglich. Die Plattform bietet eine Vielzahl an Übungen, Rätseln, Musik und Spielen zur Förderung von Körper und Geist sowie zur Gestaltung des Alltags.";"51-100 €";"Ja";"";"Hersteller-Website";"2025-05-22";"";"Ja";"Akku, aufladbar";"Beweglich";"Nein";"Sich verlaufen,Einsamkeit";"Fehlende Beschäftigung,Fühlt sich einsam,Lebt allein und hat wenig Kontakte";"Kommunikationsmittel; Beschäftigungshilfe";"Sich verlaufen,Einsamkeit";"";"1007";"Hardware + Software";"Ja";"WLAN; GMS/LTE (SIM-Karte)";"";"Aktiv"
"Gerolsteiner TrinkCheck-App";"Gerolsteiner Brunnen GmbH & Co. KG";"Diese App erinnert Sie daran, täglich ausreichend zu trinken. Der persönliche Wasserbedarf wird je nach Aktivität und Tagestemperatur angepasst. Kompatibel mit iOS und Android.";"Kostenlos";"Nein";"";"App-Stores";"2025-05-22";"Google Fit ; Apple Healthkit";"Ja";"Akku, aufladbar";"Beweglich";"Ja";"Stürzen,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Mangelnder Antrieb zu trinken";"Trinkerinnerung";"Stürzen,Flüssigkeitsmangel";"";"1002";"Nur App";"Ja";"Bluetooth";"";"Aktiv"
"magic minutes";"FALKE Care Competence GmbH";"Eine Demenztherapie, die Bewegung und Musik verbindet. Mit abwechslungsreichen Übungen zum Gedächtnistraining und zur Erinnerungsförderung, ideal für die Biografiearbeit. Begleitet von abwechslungsreicher Musik, Fotos, Alltagsgeräuschen, Märchen und Gedichten. Individuell anpassbare Übungsprogramme, Fortschrittskontrolle im Aktivierungsportal und begleitende Übungsblätter in Papierform.";"1-50 €";"Ja";"";"Hersteller-Website";"2025-05-22";"Krankenhaus EDV";"Ja";"Akku";"Beweglich";"Nein";"Sich verlaufen,Einsamkeit";"Fehlende Beschäftigung,Fühlt sich einsam,Lebt allein und hat wenig Kontakte";"Beschäftigungshilfe";"Sich verlaufen,Einsamkeit";"";"1006";"Software";"Ja";"";"";"Aktiv"
"Tante Laura";"Tante Laura GmbH";"""Tante Laura"" verbindet Senioren und ihre Angehörigen ganz einfach über eine Web-App. Diese ermöglicht die Erstellung von Wochenplänen mit Fotos, Videos, Musik und Nachrichten, die auf einem Tablet angezeigt werden. Ideal für Senioren, die nicht mehr selbst telefonieren können.";"Auf Anfrage";"Ja";"";"Hersteller-Website";"2025-05-22";"";"Ja";"Akku";"Beweglich";"Nein";"Sich verlaufen,Einsamkeit";"Fehlende Beschäftigung,Fühlt sich einsam,Lebt allein und hat wenig Kontakte";"Beschäftigungshilfe; Kommunikationsmittel";"Sich verlaufen,Einsamkeit";"";"1009";"Software";"Ja";"WLAN";"";"Aktiv"
"Tovertafel";"Tover GmbH";"Die Tovertafel bietet interaktive Spiele für Menschen mit Demenz oder kognitiven Einschränkungen in Pflegeheimen oder Tagesstätten. Die Spiele fördern die körperliche Bewegung und stimulieren die kognitiven Fähigkeiten. Unruhe und Agitation werden reduziert.";"Auf Anfrage";"";"";"Hersteller-Website";"2025-05-22";"";"Nein";"Netzbetrieb";"Verbaut/Montage erforderlich";"Nein";"Sich verlaufen,Einsamkeit";"Fehlende Beschäftigung,Lebt allein und hat wenig Kontakte";"Beschäftigungshilfe";"Sich verlaufen,Einsamkeit";"";"1010";"Hardware + Software";"Ja";"WLAN";"";"Aktiv"
"SilverFit Alois";"SilverFit BV";"SilverFit Alois ist ein digitaler Begleiter mit einer Vielzahl von Bewegungs- und Gemeinschaftsaktivitäten für Menschen mit Demenz in Pflegeeinrichtungen. Auf einem großen Touchscreen werden Spiele, Musik und Übungen angeboten, die die körperliche, kognitive, soziale und emotionale Aktivierung fördern. Gleichzeitig dienen sie der Entspannung und Beruhigung.";"Auf Anfrage";"";"";"Hersteller-Website";"2025-05-22";"";"Ja";"Netzbetrieb";"Beweglich";"Ja";"Sich verlaufen,Einsamkeit";"Fehlende Beschäftigung,Fühlt sich einsam,Lebt allein und hat wenig Kontakte";"Beschäftigungshilfe";"Sich verlaufen,Einsamkeit";"";"1011";"Hardware + Software";"Ja";"";"";"Aktiv"
"VIVAIcare";"VIVAI Software AG";"VIVAIcare ist ein technisches Assistenzsystem, welches mehrere Funktionen vereint: Sturzerkennung mit Alarmierungsfunktion, Trinkerinnerung, Erinnerungsfunktion zur Medikamenteneinnahme, Förderung der kognitiven Fähigkeiten durch einen Sprachassistenten. Das technische Display ist einfach per Sprache zu bedienen und ist verbunden mit einem Sturzsensor.";"Auf Anfrage";"";"Pflegehilfsmittelkatalog-Nr.:  52.40.05.0001";"Hersteller-Website";"2025-05-22";"VIVAIcare App für Familie und Pflegende";"Nein";"Netzbetrieb";"Einfach umrüstbar";"Ja";"Stürzen,Sich verlaufen,Vergesslichkeit,Einsamkeit,Flüssigkeitsmangel,Sich verlaufen; Stürzen";"Schwindelig, weil zu wenig getrunken,Fehlende Beschäftigung,Vergißt (Blutdruck-) Medikamente,Nach Sturz um Hilfe rufen,Vergisst, die Medikamente einzunehmen,Vergisst (Blutdruck-) Medikamente; Nach Sturz um Hilfe rufen; Fehlende Beschäftigung; Schwindelig, weil zu wenig getrunken,Vergisst Termine / neue Informationen,Fühlt sich einsam,Lebt allein und hat wenig Kontakte,Mangelnder Antrieb zu trinken";"Trinkerinnerung,Beschäftigungshilfe,Medikamenten-Management,Trinkerinnerung; Medikamenten-Management; Kommunikationsmittel; Sturzmelder,Sturzmelder,Smart Home / Assistenzsystem";"Stürzen,Sich verlaufen,Vergesslichkeit,Einsamkeit,Flüssigkeitsmangel,Sich verlaufen; Stürzen";"ZEKI";"1012";"Hardware + Software";"Ja";"WLAN; GMS/LTE (SIM-Karte); Bluetooth; Zigbee";"";"Aktiv"
"mein Paul";"JÄGER DIREKT - Jäger Fischer GmbH & Co. KG";"""meinPAUL"" unterstützt ältere Menschen in ihren eigenen vier Wänden. Es umfasst eine Inaktivitätsüberwachung, Notfallbenachrichtigungen, eine Haustürkamera und die Fernsteuerung elektrischer Geräte über ein Tablet. Über einen integrierten Kalender können Erinnerungen eingestellt werden und das System kann in Pflegeangebote integriert werden.";"Auf Anfrage";"";"";"Hersteller-Website";"2025-05-22";"";"Ja";"";"Verbaut/Montage erforderlich";"Nein";"Stürzen,Sich verlaufen,Vergesslichkeit,Einsamkeit,Sich verlaufen; Stürzen";"Fehlende Beschäftigung,Fehlende Beschäftigung; Nach Sturz um Hilfe rufen,Nach Sturz um Hilfe rufen,Vergisst Termine / neue Informationen,Fühlt sich einsam,Lebt allein und hat wenig Kontakte";"Beschäftigungshilfe,Kommunikationsmittel,Lichtsteuerung,Beschäftigungshilfe; Sturzmelder,Sturzmelder,Smart Home / Assistenzsystem,Kalender- und Erinnerungs-App";"Stürzen,Sich verlaufen,Vergesslichkeit,Einsamkeit,Sich verlaufen; Stürzen";"";"1013";"Hardware + Software";"Ja";"WLAN";"";"Aktiv"
"CarePad ";"BBC Bircher Smart Access";"CarePad ist ein Bettausstiegs- und Demenzalarmsystem. Es überwacht Personen, die nachts aufstehen oder weglaufen könnten, indem es unter der Matratze am Bettausstieg angebracht wird. Wird der Sensor durch das Herunterhängen der Beine aktiviert, alarmiert er das Pflege- oder Betreuungspersonal, um die Sicherheit des Pflegebedürftigen zu gewährleisten.";"301-500 €";"";"";"Online-Shops";"2025-05-22";"";"Nicht ermittelbar";"Batterien";"Beweglich";"Ja";"Sich verlaufen; Stürzen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Aufstehmelder";"Sich verlaufen; Stürzen";"";"1014";"Nur Hardware";"Nein";"Herstellergebunden";"";"Aktiv"
